i_pid,i_id_pers,i_id_session,dt_date_utc,r_lat,r_lon,geom_2154
17517,8,0,2019-07-08 05:35:56+02,45.1738966666667,5.72784833333333,01010000206A080000B5E656D785E62B411631FD561CA15841
17518,8,0,2019-07-08 05:36:01+02,45.1737916666667,5.72817833333333,01010000206A080000CAC84776BAE62B41CF076BA619A15841
17519,8,0,2019-07-08 05:36:06+02,45.173695,5.728495,01010000206A0800006017F3ECECE62B410D2DBC2E17A15841
17520,8,0,2019-07-08 05:36:11+02,45.173595,5.72877666666667,01010000206A080000F25557EB19E72B4175D84C9914A15841
17521,8,0,2019-07-08 05:36:16+02,45.1736016666667,5.728905,01010000206A080000AB05C3042EE72B418248F3DE14A15841
17522,8,0,2019-07-08 05:36:21+02,45.17366,5.72888,01010000206A080000F9F03EA529E72B41B2DFFB7816A15841
17523,8,0,2019-07-08 05:36:26+02,45.173695,5.72882,01010000206A080000C68DB5F41FE72B4121E42F6717A15841
17524,8,0,2019-07-08 05:36:31+02,45.1737066666667,5.72883333333333,01010000206A080000A098BCF521E72B41FDE360BC17A15841
17525,8,0,2019-07-08 05:36:36+02,45.1737066666667,5.72886333333333,01010000206A080000DB319FAB26E72B41EFFC96C117A15841
17526,8,0,2019-07-08 05:36:41+02,45.1737033333333,5.72888166666667,01010000206A080000B4CD199329E72B41D78A18AD17A15841
17527,8,0,2019-07-08 05:36:46+02,45.173705,5.72889666666667,01010000206A080000C5D0C4EA2BE72B41E9778ABB17A15841
17528,8,0,2019-07-08 05:36:51+02,45.17371,5.728905,01010000206A08000092C2E92F2DE72B41FAA881E017A15841
17529,8,0,2019-07-08 05:36:56+02,45.1737133333333,5.72891166666667,01010000206A080000AC9F56352EE72B4105DE57F917A15841
17530,8,0,2019-07-08 05:37:01+02,45.1737166666667,5.72892,01010000206A0800008ED7C17D2FE72B418C31781218A15841
17531,8,0,2019-07-08 05:37:06+02,45.1737216666667,5.72892,01010000206A08000071F0EE732FE72B419CCBFC3518A15841
17532,8,0,2019-07-08 05:37:11+02,45.173725,5.72892166666667,01010000206A080000A2B260B02FE72B41FAA5F44D18A15841
17533,8,0,2019-07-08 05:37:16+02,45.1737266666667,5.72892666666667,01010000206A080000D879157630E72B410DDFA95A18A15841
17534,8,0,2019-07-08 05:37:21+02,45.17373,5.72893166666667,01010000206A0800004BF2833831E72B413CF6357318A15841
17535,8,0,2019-07-08 05:37:26+02,45.1737316666667,5.72893166666667,01010000206A08000056A43D3531E72B4141D40C7F18A15841
17536,8,0,2019-07-08 05:37:31+02,45.1737333333333,5.72894,01010000206A0800004A20EF8032E72B416A4A568C18A15841
17537,8,0,2019-07-08 05:37:36+02,45.173735,5.72894166666667,01010000206A0800001F2DA7C032E72B41E346779818A15841
